vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;13-PASTAS 200 Unidades;522-RAVIOLES JAM.Y POLLO 200UNIDADES TERRUÑO;728;2;0;2;726;0.27;240
1 - Jorge;13-PASTAS 200 Unidades;521-RAVIOLES VERDURA 200UNIDADES TERRUÑO;1304;4;0;4;1300;0.31;480
1 - Jorge;30-Dulces La Granjera;2002-MEMBRILLO L.G 4 KG.;13;1;0;1;12;7.69;362
1 - Jorge;31-Mermeladas L.Granjera;L31-DULCE BATATA 3K LIMAY;3;1;0;1;2;33.33;317
1 - Jorge;31-Mermeladas L.Granjera;L44-LIMAY  MERM ZAPALLO 250G;5;3;0;3;2;60;156
1 - Jorge;31-Mermeladas L.Granjera;641-LIMAY MERM DURAZNO 250;8;3;0;3;5;37.5;198
1 - Jorge;31-Mermeladas L.Granjera;L43-LIMAY MERM FRUTILLA 250;6;1;0;1;5;16.67;66
1 - Jorge;31-Mermeladas L.Granjera;L42-LIMAY MERM HIGO 250 G;8;3;0;3;5;37.5;156
1 - Jorge;50-Quesos;5053-BARRA SANDW CALCAR 4KG;557.9;4;13.45;17.45;540.45;3.13;5624.01
1 - Jorge;50-Quesos;5045-DAMBO CALCAR;434.73;3.27;0;3.27;431.46;0.75;1236.82
1 - Jorge;50-Quesos;5055-REQUESON CALCAR;8;0;16;16;-8;200;1542
1 - Jorge;50-Quesos;5242-REQUESON CIBOULETTE CALCAR;7;0;1;1;6;14.29;98
1 - Jorge;50-Quesos;5056-REQUESON LIGHT CALCAR;4;0;3;3;1;75;294
1 - Jorge;51-Manteca;1337-MANTECA 5kg MILKCREAM;180;2;0;2;178;1.11;2500
1 - Jorge;52-Crema Doble;5087-CREMA DOBLE X 1/2LT;334;8;24;32;302;9.58;3888.51
1 - Jorge;52-Crema Doble;5088-CREMA DOBLE X 1/4 LT;226;0;26;26;200;11.5;2447.85
1 - Jorge;52-Crema Doble;5086-CREMA DOBLE X 1LT;206;2;7;9;197;4.37;1893
1 - Jorge;53-Yogur;5075-GELATINA CALCAR FRUTILLA;94;0;6;6;88;6.38;169.99
1 - Jorge;53-Yogur;5090-POSTRE BOB VAINILLA;187;1;14;15;172;8.02;560.01
1 - Jorge;53-Yogur;5089-POSTRE C/ROCKLES;125;0;32;32;93;25.6;1390.02
1 - Jorge;53-Yogur;5244-YOGUR 0% DURAZNO;47;4;17;21;26;44.68;1367
1 - Jorge;53-Yogur;5243-YOGUR 0% FRUTILLA;35;0;1;1;34;2.86;75
1 - Jorge;53-Yogur;5057-YOGUR 0% NATURAL;19;0;4;4;15;21.05;280
1 - Jorge;53-Yogur;5082-YOGUR BEBIBLE DR;133;3;17;20;113;15.04;1138.99
1 - Jorge;53-Yogur;5081-YOGUR BEBIBLE FR;196;0;7;7;189;3.57;375.99
1 - Jorge;53-Yogur;5078-YOGUR BIO DR C/DR;359;5;17;22;337;6.13;1647.99
1 - Jorge;53-Yogur;5077-YOGUR BIO FR C/FR;274;0;26;26;248;9.49;1949.99
1 - Jorge;53-Yogur;5074-YOGUR BIO NATURAL;391;5;17;22;369;5.63;1629.99
1 - Jorge;53-Yogur;5079-YOGUR C/CEREALES;267;0;10;10;257;3.75;436
1 - Jorge;54-Dulces;5189-DULCE LECHE 1 KG POTE CALCAR;18;0;6;6;12;33.33;1270
1 - Jorge;55-Leche;5208-CHOCOLATADA UHT X 1 LT CALCAR;2031;6;35;41;1990;2.02;2633.01
1 - Jorge;55-Leche;5196-DESCREMADA LARGA VIDA CALCAR;3072;36;9;45;3027;1.46;2391.01
1 - Jorge;55-Leche;5227-DESLACTOSADA CALCAR UHT SEMI DESC;280;0;8;8;272;2.86;479.2
1 - Jorge;55-Leche;5195-ENTERA LARGA VIDA CALCAR;10962;38;10;48;10914;0.44;2562.01
1 - Jorge;56-DON SANTI;5172-DON SANTI RICOTTA X 1K;8.05;0;1;1;7.05;12.42;156
1 - Jorge;60-Sibarita;6684-EMPANADA CARNE X3 HAMBY;14;0;1;1;13;7.14;157.92
1 - Jorge;60-Sibarita;6555-EMPANADA QUESO/LONGANIZA X3 HAMBY (24);5;0;1;1;4;20;157.92
1 - Jorge;61-Linea gastronomica Mc cain;2941-FRITA WEDGES SKIN ON 2.5 KG MC (5);45;1;0;1;44;2.22;461
1 - Jorge;61-Linea gastronomica Mc cain;6038-MC CAIN CORTE FINO 2.25 (C8);359;0;2;2;357;0.56;616.2
1 - Jorge;61-Linea gastronomica Mc cain;6672-MC CAIN CRINKLE 20X600 GR;59;2;2;4;55;6.78;569.16
1 - Jorge;61-Linea gastronomica Mc cain;6066-MC TRADICIONAL 2KG (8);2565;80;0;80;2485;3.12;16319.97
1 - Jorge;61-Linea gastronomica Mc cain;6025-MC TRADICIONAL 700 GR (16);97;2;0;2;95;2.06;314.64
1 - Jorge;61-Linea gastronomica Mc cain;6082-ONE FRY X 2.5 KG;1437;46;0;46;1391;3.2;11097.48
1 - Jorge;61-Linea gastronomica Mc cain;6077-PURE DE PAPA X 20 K MC CAIN;8;1;0;1;7;12.5;5796
1 - Jorge;61-Linea gastronomica Mc cain;6079-ROSTI ROUNDS X 2.5 MC CAIN;3;1;0;1;2;33.33;609
1 - Jorge;61-Linea gastronomica Mc cain;6523-WEDGES SPICY 2.5kg MC CAIN;14;1;0;1;13;7.14;501
1 - Jorge;62-Congelados Hamby;6080-MEDALLON POLLO 2.5 KG HAMBY;0;0;1;1;-1;100;897.7
1 - Jorge;63-Vegetales Pinguin Mc cain;6101-ACELGA 2KG MC CAIN;234;7;0;7;227;2.99;1782
1 - Jorge;63-Vegetales Pinguin Mc cain;6105-JARDINERA 2K MC CAIN;57;2;0;2;55;3.51;539
1 - Jorge;63-Vegetales Pinguin Mc cain;6083-MC CAIN ARVEJA 500 GR (16);170;17;0;17;153;10;1649.21
1 - Jorge;64-Hamb. Chivito Hamby-Tacuarembo;6057-HAMB. HAMBY X 2 (42);176;0;4;4;172;2.27;282
1 - Jorge;64-Hamb. Chivito Hamby-Tacuarembo;6118-HAMB. TACUAREMBO X 2 (30) MC.CAIN;611;20;0;20;591;3.27;899.99
1 - Jorge;65-Empaquetados chicos Mc cain;6027-MC FINITAS 1 KG;116;2;0;2;114;1.72;434.24
1 - Jorge;65-Empaquetados chicos Mc cain;6036-MC SMILES 700 GR (14);100;6;0;6;94;6;1299.6
1 - Jorge;65-Empaquetados chicos Mc cain;6681-PULPA DE PALTA MC CAIN 450g (12);0;0;2;2;-2;100;606
1 - Jorge;70-Artico;6531-ARROLLADITO PRIMAVERA ARTICO 50 UNID (BOLSA) (10);348;2;2;4;344;1.15;1165.25
1 - Jorge;70-Artico;8834-BARRITAS DE MUZZA 2K ARTICO(3);47;1;0;1;46;2.13;821
1 - Jorge;70-Artico;8824-CEBOLLA 1K ARTICO(10);1988;1;0;1;1987;0.05;120
1 - Jorge;70-Artico;8917-ENSALADA DE BROCOLI 1k ARTICO(10);77;0;2;2;75;2.6;286
