vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;13-PASTAS 200 Unidades;522-RAVIOLES JAM.Y POLLO 200UNIDADES TERRUÑO;747;7;0;7;740;0.94;834
1 - Jorge;13-PASTAS 200 Unidades;521-RAVIOLES VERDURA 200UNIDADES TERRUÑO;1432;15;0;15;1417;1.05;1800
1 - Jorge;14-PASTA 3 KG;507-RAVIOLES JAM POLL LA TEJA 3KG;6;0;1;1;5;16.67;340
1 - Jorge;14-PASTA 3 KG;506-RAVIOLES VER  LA TEJA  3KG;85;1;0;1;84;1.18;340
1 - Jorge;50-Quesos;5053-BARRA SANDW CALCAR 4KG;416;20;0;20;396;4.81;7524
1 - Jorge;50-Quesos;5045-DAMBO CALCAR;609.86;3.34;0;3.34;606.51;0.55;1330.91
1 - Jorge;50-Quesos;5050-MUZZARELLA X 4K CALCAR;499.52;132.86;0;132.86;366.66;26.6;50221.07
1 - Jorge;50-Quesos;5055-REQUESON CALCAR;175;0;3;3;172;1.71;275
1 - Jorge;50-Quesos;5242-REQUESON CIBOULETTE CALCAR;159;1;2;3;156;1.89;276
1 - Jorge;50-Quesos;5056-REQUESON LIGHT CALCAR;58;0;8;8;50;13.79;748
1 - Jorge;51-Manteca;1337-MANTECA 5kg MILKCREAM;162;40;0;40;122;24.69;55999.99
1 - Jorge;52-Crema Doble;5087-CREMA DOBLE X 1/2LT;677;4;25;29;648;4.28;3939
1 - Jorge;52-Crema Doble;5088-CREMA DOBLE X 1/4 LT;841;0;68;68;773;8.09;6769.39
1 - Jorge;52-Crema Doble;5086-CREMA DOBLE X 1LT;972;16;18;34;938;3.5;7297.49
1 - Jorge;53-Yogur;5075-GELATINA CALCAR FRUTILLA;475;16;41;57;418;12;1603.77
1 - Jorge;53-Yogur;5090-POSTRE BOB VAINILLA;743;29;21;50;693;6.73;1528.01
1 - Jorge;53-Yogur;5089-POSTRE C/ROCKLES;609;8;39;47;562;7.72;1970.28
1 - Jorge;53-Yogur;5244-YOGUR 0% DURAZNO;237;5;19;24;213;10.13;1715.99
1 - Jorge;53-Yogur;5243-YOGUR 0% FRUTILLA;231;2;12;14;217;6.06;982.99
1 - Jorge;53-Yogur;5057-YOGUR 0% NATURAL;166;2;14;16;150;9.64;1119.99
1 - Jorge;53-Yogur;5082-YOGUR BEBIBLE DR;386;0;19;19;367;4.92;1068.99
1 - Jorge;53-Yogur;5081-YOGUR BEBIBLE FR;515;3;19;22;493;4.27;1225.99
1 - Jorge;53-Yogur;5078-YOGUR BIO DR C/DR;1487;20;31;51;1436;3.43;3716.98
1 - Jorge;53-Yogur;5077-YOGUR BIO FR C/FR;1515;15;21;36;1479;2.38;2581.98
1 - Jorge;53-Yogur;5074-YOGUR BIO NATURAL;1684;23;51;74;1610;4.39;5281.96
1 - Jorge;53-Yogur;5079-YOGUR C/CEREALES;1074;9;50;59;1015;5.49;2439.77
1 - Jorge;54-Dulces;5189-DULCE LECHE 1 KG POTE CALCAR;83;0;7;7;76;8.43;1579
1 - Jorge;55-Leche;5208-CHOCOLATADA UHT X 1 LT CALCAR;545;0;34;34;511;6.24;2649.99
1 - Jorge;55-Leche;5196-DESCREMADA LARGA VIDA CALCAR;5190;24;22;46;5144;0.89;2320
1 - Jorge;55-Leche;5227-DESLACTOSADA CALCAR UHT SEMI DESC;807;24;27;51;756;6.32;3054.88
1 - Jorge;55-Leche;5195-ENTERA LARGA VIDA CALCAR;12505.1;60;5;65;12440.1;0.52;3068.01
1 - Jorge;60-Sibarita;6015-EMPANADA JAMON/QUESO X 9 HAMBY;8;4;0;4;4;50;1722.08
1 - Jorge;61-Linea gastronomica Mc cain;2941-FRITA WEDGES SKIN ON 2.5 KG MC (5);35;5;0;5;30;14.29;2225
1 - Jorge;61-Linea gastronomica Mc cain;14502-MC CAIN BASTON DE MUZZARELLA 2K (3);7;3;0;3;4;42.86;2863.65
