vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;13-PASTAS 200 Unidades;521-RAVIOLES VERDURA 200UNIDADES TERRUÑO;1308;2;0;2;1306;0.15;270
1 - Jorge;30-Dulces La Granjera;2002-MEMBRILLO L.G 4 KG.;12;1;0;1;11;8.33;362
1 - Jorge;50-Quesos;5053-BARRA SANDW CALCAR 4KG;446.95;12;14;26;420.95;5.82;8217.6
1 - Jorge;50-Quesos;5050-MUZZARELLA X 4K CALCAR;510.96;10.7;0;10.7;500.26;2.09;4113.7
1 - Jorge;50-Quesos;5055-REQUESON CALCAR;131;0;2;2;129;1.53;196
1 - Jorge;51-Manteca;1337-MANTECA 5kg MILKCREAM;96;1;7;8;88;8.33;11200
1 - Jorge;52-Crema Doble;5087-CREMA DOBLE X 1/2LT;886;4;24;28;858;3.16;2909.15
1 - Jorge;52-Crema Doble;5088-CREMA DOBLE X 1/4 LT;870;4;42;46;824;5.29;4094.01
1 - Jorge;52-Crema Doble;5086-CREMA DOBLE X 1LT;1161;10;20;30;1131;2.58;5861.84
1 - Jorge;53-Yogur;5075-GELATINA CALCAR FRUTILLA;423;10;6;16;407;3.78;465.6
1 - Jorge;53-Yogur;5090-POSTRE BOB VAINILLA;844;3;29;32;812;3.79;1185.45
1 - Jorge;53-Yogur;5089-POSTRE C/ROCKLES;658;0;52;52;606;7.9;2209.71
1 - Jorge;53-Yogur;5244-YOGUR 0% DURAZNO;154;1;26;27;127;17.53;1923.4
1 - Jorge;53-Yogur;5243-YOGUR 0% FRUTILLA;132;0;14;14;118;10.61;981.15
1 - Jorge;53-Yogur;5057-YOGUR 0% NATURAL;75;0;3;3;72;4;205.8
1 - Jorge;53-Yogur;5082-YOGUR BEBIBLE DR;349;3;54;57;292;16.33;3107.3
1 - Jorge;53-Yogur;5081-YOGUR BEBIBLE FR;357;3;79;82;275;22.97;4460.52
1 - Jorge;53-Yogur;5078-YOGUR BIO DR C/DR;710;8;86.01;94.01;615.99;13.24;6760.52
1 - Jorge;53-Yogur;5077-YOGUR BIO FR C/FR;816;8;62;70;746;8.58;5109.99
1 - Jorge;53-Yogur;5074-YOGUR BIO NATURAL;805;8;25;33;772;4.1;2318.85
1 - Jorge;53-Yogur;5079-YOGUR C/CEREALES;1004;47;82;129;875;12.85;5478.22
1 - Jorge;54-Dulces;5068-DULCE LECHE 980G VIDRIO CALCAR;29;3;0;3;26;10.34;714
1 - Jorge;55-Leche;5208-CHOCOLATADA UHT X 1 LT CALCAR;718;0;17;17;701;2.37;1513
1 - Jorge;55-Leche;5196-DESCREMADA LARGA VIDA CALCAR;2790;24;12;36;2754;1.29;1980
1 - Jorge;55-Leche;5227-DESLACTOSADA CALCAR UHT SEMI DESC;711;12;36;48;663;6.75;3408.02
1 - Jorge;55-Leche;5195-ENTERA LARGA VIDA CALCAR;8628;72;0;72;8556;0.83;3528.04
1 - Jorge;60-Sibarita;16512-EMPANADA POLLO X 3 HAMBY;7;0;7;7;0;100;1105.44
1 - Jorge;61-Linea gastronomica Mc cain;2941-FRITA WEDGES SKIN ON 2.5 KG MC (5);56;0;1;1;55;1.79;461
1 - Jorge;61-Linea gastronomica Mc cain;6672-MC CAIN CRINKLE 20X600 GR;61;4;0;4;57;6.56;575.28
1 - Jorge;61-Linea gastronomica Mc cain;6045-MC SMILES 1.5 KG (6);114;2;0;2;112;1.75;932
1 - Jorge;61-Linea gastronomica Mc cain;6066-MC TRADICIONAL 2KG (8);2423;24;0;24;2399;0.99;5471.99
1 - Jorge;61-Linea gastronomica Mc cain;6044-NOISETTES 2.5 K MCCAIN (4);124;1;0;1;123;0.81;683
1 - Jorge;61-Linea gastronomica Mc cain;6082-ONE FRY X 2.5 KG;973;49;3;52;921;5.34;12947.2
1 - Jorge;61-Linea gastronomica Mc cain;6645-PAPA CRINKLE 2.5KG MC CAIN;22;0;1;1;21;4.55;480
1 - Jorge;61-Linea gastronomica Mc cain;6077-PURE DE PAPA X 20 K MC CAIN;9;1;0;1;8;11.11;5941
1 - Jorge;63-Vegetales Pinguin Mc cain;6049-ESPINACA PICADA 2K MC CAIN (5);432;5;0;5;427;1.16;1240
1 - Jorge;63-Vegetales Pinguin Mc cain;6083-MC CAIN ARVEJA 500 GR (16);125;0;1;1;124;0.8;97.76
1 - Jorge;64-Hamb. Chivito Hamby-Tacuarembo;6640-HAMB. HAMBY CEBOLLA X2;41;0;3;3;38;7.32;240
1 - Jorge;64-Hamb. Chivito Hamby-Tacuarembo;6639-HAMB. HAMBY PANCETA X2;41;0;2;2;39;4.88;160
1 - Jorge;65-Empaquetados chicos Mc cain;6098-CROQUETAS X 1 KG MC CAIN;16;0;1;1;15;6.25;285
1 - Jorge;65-Empaquetados chicos Mc cain;6035-MC NOISETTES 600 GR (16);66;0;2;2;64;3.03;351.14
1 - Jorge;65-Empaquetados chicos Mc cain;6036-MC SMILES 700 GR (14);125;0;1;1;124;0.8;214.32
1 - Jorge;65-Empaquetados chicos Mc cain;6681-PULPA DE PALTA MC CAIN 450g (12);0;0;2;2;-2;100;575.7
1 - Jorge;70-Artico;6531-ARROLLADITO PRIMAVERA ARTICO 50 UNID (BOLSA) (10);435;4;1;5;430;1.15;1475
1 - Jorge;70-Artico;8824-CEBOLLA 1K ARTICO(10);2026;3;0;3;2023;0.15;360
1 - Jorge;70-Artico;8828-CHAMPIGNION ENTERO 1K ARTICO (10);8;0;2;2;6;25;374.3
1 - Jorge;70-Artico;6504-FORMITAS DE MERLUZA ARTICO 2k (3);24;1;0;1;23;4.17;540
1 - Jorge;70-Artico;8836-FORMITAS DE POLLO 2kg ARTICO (3);222;3;0;3;219;1.35;1704
1 - Jorge;70-Artico;13535-MEXICANA 1K ARTICO (10);142;0;1;1;141;0.7;157
1 - Jorge;70-Artico;14021-MILANESA DE POLLO 500g ARTICO (15);4;13;0;13;-9;325;2365.99
1 - Jorge;70-Artico;8916-MILANESA DE POLLO ARTICO 1K (C6);178;6;0;6;172;3.37;2352
1 - Jorge;70-Artico;6537-MILANESA MERLUZA 1K ARTICO x6;360;1;0;1;359;0.28;432
1 - Jorge;70-Artico;8819-MILANESA ROMANA ARTICO (cajax5kg);190;10;0;10;180;5.26;4499.99
1 - Jorge;70-Artico;8864-MIX DE MARISCOS 1KG ARTICO(10);14;0;2;2;12;14.29;614
1 - Jorge;70-Artico;1054-MIX VEGETALES (RUSA) ARTICO 1k (10);143;5;0;5;138;3.5;720
1 - Jorge;70-Artico;8825-MORRON ROJO 1K ARTICO (10);1464;1;0;1;1463;0.07;165
1 - Jorge;70-Artico;13507-PANGA X 1 K ARTICO(10);134;10;0;10;124;7.46;2550
1 - Jorge;80-Congelados DYSA;7064-PORTO BELO FILET MERLUZA 1K (10);231;10;0;10;221;4.33;4009
1 - Jorge;83-CAMBAY PREPARACION;4511-CAMBAY CREMA PASTELERA 400g (14);74;0;5;5;69;6.76;525
1 - Jorge;83-CAMBAY PREPARACION;4508-CAMBAY CREMA PASTELERA X5kg (4);21;2;0;2;19;9.52;2310
1 - Jorge;83-CAMBAY PREPARACION;4525-CAMBAY LIPPIMILS DESMOLDANTE 10LT;8;1;0;1;7;12.5;1876
1 - Jorge;99-FETEADOS CENTENARIO;11020-JAMON COCIDO ET DORADA EN FETAS (200G);51;0;10;10;41;19.61;1254
1 - Jorge;99-FETEADOS CENTENARIO;8697-JAMON ET.NEGRA EN FETAS 200G;56;0;2;2;54;3.57;302
1 - Jorge;99-FETEADOS CENTENARIO;8700-LOMITO CANADIENSE EN FETAS 200G;52;0;8;8;44;15.38;1401.4
1 - Jorge;99-FETEADOS CENTENARIO;8695-PANCETA CENTENARIO EN FETAS 200G;52;0;5;5;47;9.62;875
1 - Jorge;99-FETEADOS CENTENARIO;8698-SALAME MILAN CENT. EN FETAS 200G x unidad;70;3;5;8;62;11.43;1678.6
1 - Jorge;100-Centenario;8728-CHORIZO CHEDDAR BACON X3 (kG);3.65;0;2.4;2.4;1.25;65.75;1237.68
1 - Jorge;100-Centenario;9661-CHORIZO ESPAÑOL X3 CENTENARIO;14.85;0;4.3;4.3;10.55;28.96;2395.14
1 - Jorge;100-Centenario;8702-CHORIZO EXTRA AHUMADO CENT. X3UNI (KG);20.45;0;2.68;2.68;17.77;13.11;1462.34
1 - Jorge;100-Centenario;8722-CHORIZO EXTRA CENTENARIO X3 UNID (KG);37.62;0;1.92;1.92;35.7;5.1;1052.8
1 - Jorge;100-Centenario;8703-CHORIZO PURO CERDO CENTENARIO X3UNI (KG);22.3;0;1.65;1.65;20.65;7.4;700.35
1 - Jorge;100-Centenario;9660-DAMBO CENTENARIO;156.44;3.49;0;3.49;152.95;2.23;1391.46
1 - Jorge;100-Centenario;8668-FINZETA S/PIEL CENTENARIO 500G;20.5;0;0.5;0.5;20;2.44;381.5
1 - Jorge;100-Centenario;8666-HUNGARAS MINIPACK CENTENARIO (KG);0;0;1.6;1.6;-1.6;100;915.84
1 - Jorge;100-Centenario;8047-LOMITO CANADIENSE CENTENARIO;17.8;1.9;1.7;3.6;14.2;20.22;2086.71
1 - Jorge;100-Centenario;9532-LONGANIZA AHUMADA CENTENARIO (KG);13.95;4.14;3.75;7.89;6.06;56.56;6187.4
1 - Jorge;100-Centenario;8669-LONGANIZA CENTENARIO VACIO (x KG);2;0;0.8;0.8;1.2;40;596.16
1 - Jorge;100-Centenario;9638-PACK LA OLLA -Ch Extra Ahumado+Panceta Bacon;0;0;4;4;-4;100;699.6
1 - Jorge;100-Centenario;8050-PALETA  SANDWICHERA ARIZONA;6.25;0;3.5;3.5;2.75;56;805
1 - Jorge;100-Centenario;8004-PALETA ROJA CENTENARIO;506.7;12.15;0;12.15;494.55;2.4;3438.45
1 - Jorge;100-Centenario;8021-PANCETA BACON CENTENARIO;176.7;3.12;0;3.12;173.58;1.77;1644.24
1 - Jorge;100-Centenario;8008-PANCHO ARIZONA  S.L;13.14;2.88;0;2.88;10.26;21.92;737.28
1 - Jorge;100-Centenario;9511-PANCHO EXTRA PACK 8+4 U CENTENARIO;164;0;30;30;134;18.29;5913.85
1 - Jorge;100-Centenario;9643-PARRILLERO PROVOLONE CENTENARIO;8;5.38;0;5.38;2.62;67.25;2590.47
1 - Jorge;100-Centenario;8030-PATE CENTENARIO 2 X 1;277;3;68;71;206;25.63;9008.62
1 - Jorge;100-Centenario;8670-SALAMIN CENT. CORTO VACIO (x KG);6.55;0;0.8;0.8;5.75;12.21;596.16
1 - Jorge;100-Centenario;8620-SALAMIN CENTENARIO AHUMADO AL VACIO (KG);8.2;1.1;0.4;1.5;6.7;18.29;1305
1 - Jorge;100-Centenario;8606-SALCHICHA PARRILLERA MINI PACK (KG);3.45;0;0.6;0.6;2.85;17.39;348.84
1 - Jorge;150- D. Joaquin;10513-CASERITO AHUMADO DON JOAQUIN;6.4;0;0.74;0.74;5.66;11.56;419.58
