vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
1 - Jorge,13-PASTAS 200 Unidades,522-RAVIOLES JAM.Y POLLO 200UNIDADES TERRUÑO,747.0,7.0,0.0,7.0,740.0,0.94,834.0
1 - Jorge,13-PASTAS 200 Unidades,521-RAVIOLES VERDURA 200UNIDADES TERRUÑO,1432.0,15.0,0.0,15.0,1417.0,1.05,1800.0
1 - Jorge,14-PASTA 3 KG,507-RAVIOLES JAM POLL LA TEJA 3KG,6.0,0.0,1.0,1.0,5.0,16.67,340.0
1 - Jorge,14-PASTA 3 KG,506-RAVIOLES VER  LA TEJA  3KG,85.0,1.0,0.0,1.0,84.0,1.18,340.0
1 - Jorge,50-Quesos,5053-BARRA SANDW CALCAR 4KG,416.0,20.0,0.0,20.0,396.0,4.81,7524.0
1 - Jorge,50-Quesos,5045-DAMBO CALCAR,609.86,3.34,0.0,3.34,606.51,0.55,1330.91
1 - Jorge,50-Quesos,5050-MUZZARELLA X 4K CALCAR,499.52,132.86,0.0,132.86,366.66,26.6,50221.07
1 - Jorge,50-Quesos,5055-REQUESON CALCAR,175.0,0.0,3.0,3.0,172.0,1.71,275.0
1 - Jorge,50-Quesos,5242-REQUESON CIBOULETTE CALCAR,159.0,1.0,2.0,3.0,156.0,1.89,276.0
1 - Jorge,50-Quesos,5056-REQUESON LIGHT CALCAR,58.0,0.0,8.0,8.0,50.0,13.79,748.0
1 - Jorge,51-Manteca,1337-MANTECA 5kg MILKCREAM,162.0,40.0,0.0,40.0,122.0,24.69,55999.99
1 - Jorge,52-Crema Doble,5087-CREMA DOBLE X 1/2LT,677.0,4.0,25.0,29.0,648.0,4.28,3939.0
1 - Jorge,52-Crema Doble,5088-CREMA DOBLE X 1/4 LT,841.0,0.0,68.0,68.0,773.0,8.09,6769.39
1 - Jorge,52-Crema Doble,5086-CREMA DOBLE X 1LT,972.0,16.0,18.0,34.0,938.0,3.5,7297.49
1 - Jorge,53-Yogur,5075-GELATINA CALCAR FRUTILLA,475.0,16.0,41.0,57.0,418.0,12.0,1603.77
1 - Jorge,53-Yogur,5090-POSTRE BOB VAINILLA,743.0,29.0,21.0,50.0,693.0,6.73,1528.01
1 - Jorge,53-Yogur,5089-POSTRE C/ROCKLES,609.0,8.0,39.0,47.0,562.0,7.72,1970.28
1 - Jorge,53-Yogur,5244-YOGUR 0% DURAZNO,237.0,5.0,19.0,24.0,213.0,10.13,1715.99
1 - Jorge,53-Yogur,5243-YOGUR 0% FRUTILLA,231.0,2.0,12.0,14.0,217.0,6.06,982.99
1 - Jorge,53-Yogur,5057-YOGUR 0% NATURAL,166.0,2.0,14.0,16.0,150.0,9.64,1119.99
1 - Jorge,53-Yogur,5082-YOGUR BEBIBLE DR,386.0,0.0,19.0,19.0,367.0,4.92,1068.99
1 - Jorge,53-Yogur,5081-YOGUR BEBIBLE FR,515.0,3.0,19.0,22.0,493.0,4.27,1225.99
1 - Jorge,53-Yogur,5078-YOGUR BIO DR C/DR,1487.0,20.0,31.0,51.0,1436.0,3.43,3716.98
1 - Jorge,53-Yogur,5077-YOGUR BIO FR C/FR,1515.0,15.0,21.0,36.0,1479.0,2.38,2581.98
1 - Jorge,53-Yogur,5074-YOGUR BIO NATURAL,1684.0,23.0,51.0,74.0,1610.0,4.39,5281.96
1 - Jorge,53-Yogur,5079-YOGUR C/CEREALES,1074.0,9.0,50.0,59.0,1015.0,5.49,2439.77
1 - Jorge,54-Dulces,5189-DULCE LECHE 1 KG POTE CALCAR,83.0,0.0,7.0,7.0,76.0,8.43,1579.0
1 - Jorge,55-Leche,5208-CHOCOLATADA UHT X 1 LT CALCAR,545.0,0.0,34.0,34.0,511.0,6.24,2649.99
1 - Jorge,55-Leche,5196-DESCREMADA LARGA VIDA CALCAR,5190.0,24.0,22.0,46.0,5144.0,0.89,2320.0
1 - Jorge,55-Leche,5227-DESLACTOSADA CALCAR UHT SEMI DESC,807.0,24.0,27.0,51.0,756.0,6.32,3054.88
1 - Jorge,55-Leche,5195-ENTERA LARGA VIDA CALCAR,12505.1,60.0,5.0,65.0,12440.1,0.52,3068.01
1 - Jorge,60-Sibarita,6015-EMPANADA JAMON/QUESO X 9 HAMBY,8.0,4.0,0.0,4.0,4.0,50.0,1722.08
1 - Jorge,61-Linea gastronomica Mc cain,2941-FRITA WEDGES SKIN ON 2.5 KG MC (5),35.0,5.0,0.0,5.0,30.0,14.29,2225.0
1 - Jorge,61-Linea gastronomica Mc cain,14502-MC CAIN BASTON DE MUZZARELLA 2K (3),7.0,3.0,0.0,3.0,4.0,42.86,2863.65
1 - Jorge,61-Linea gastronomica Mc cain,6038-MC CAIN CORTE FINO 2.25 (C8),283.0,24.0,0.0,24.0,259.0,8.48,7204.79
1 - Jorge,61-Linea gastronomica Mc cain,6045-MC SMILES 1.5 KG (6),127.0,1.0,0.0,1.0,126.0,0.79,450.0
1 - Jorge,61-Linea gastronomica Mc cain,6146-MC TRADICIONAL 1.4 KG (10),34.0,4.0,0.0,4.0,30.0,11.76,1008.0
1 - Jorge,61-Linea gastronomica Mc cain,6037-MC TRADICIONAL 2.5 K (6),299.0,24.0,0.0,24.0,275.0,8.03,5490.0
1 - Jorge,61-Linea gastronomica Mc cain,6066-MC TRADICIONAL 2KG (8),1191.7,187.7,0.0,187.7,1004.0,15.75,37896.35
1 - Jorge,61-Linea gastronomica Mc cain,6044-NOISETTES 2.5 K MCCAIN (4),49.0,1.0,0.0,1.0,48.0,2.04,643.0
1 - Jorge,61-Linea gastronomica Mc cain,6082-ONE FRY X 2.5 KG,1238.0,9.0,1.0,10.0,1228.0,0.81,2626.0
1 - Jorge,63-Vegetales Pinguin Mc cain,6101-ACELGA 2KG MC CAIN,302.0,20.0,0.0,20.0,282.0,6.62,5147.99
1 - Jorge,63-Vegetales Pinguin Mc cain,6156-ARVEJA 2 KG MC CAIN,34.0,1.0,0.0,1.0,33.0,2.94,305.0
1 - Jorge,63-Vegetales Pinguin Mc cain,6050-BROCOLI 2K MC CAIN,43.0,1.0,0.0,1.0,42.0,2.33,318.0
1 - Jorge,63-Vegetales Pinguin Mc cain,6049-ESPINACA PICADA 2K MC CAIN (5),289.0,22.0,0.0,22.0,267.0,7.61,4675.0
1 - Jorge,63-Vegetales Pinguin Mc cain,6083-MC CAIN ARVEJA 500 GR (16),204.0,7.0,0.0,7.0,197.0,3.43,678.3
1 - Jorge,63-Vegetales Pinguin Mc cain,6678-MC CAIN MAIZ 500g  (16),125.0,3.0,0.0,3.0,122.0,2.4,306.0
1 - Jorge,64-Hamb. Chivito Hamby-Tacuarembo,6118-HAMB. TACUAREMBO X 2 (30) MC.CAIN,955.0,35.0,0.0,35.0,920.0,3.66,1492.49
1 - Jorge,65-Empaquetados chicos Mc cain,6680-GUACAMOLE MC CAIN 450g (12),0.0,0.0,6.0,6.0,-6.0,100.0,1752.0
1 - Jorge,65-Empaquetados chicos Mc cain,6027-MC FINITAS 1 KG,122.0,3.0,0.0,3.0,119.0,2.46,642.96
1 - Jorge,65-Empaquetados chicos Mc cain,6035-MC NOISETTES 600 GR (16),57.0,3.0,0.0,3.0,54.0,5.26,414.0
1 - Jorge,65-Empaquetados chicos Mc cain,6036-MC SMILES 700 GR (14),162.0,2.0,0.0,2.0,160.0,1.23,440.0
1 - Jorge,65-Empaquetados chicos Mc cain,6681-PULPA DE PALTA MC CAIN 450g (12),6.0,1.0,1.0,2.0,4.0,33.33,595.0
1 - Jorge,65-Empaquetados chicos Mc cain,13511-SIETE MARES FILET MERLUZA X 1K(C10),7.0,2.0,0.0,2.0,5.0,28.57,786.0
1 - Jorge,70-Artico,6531-ARROLLADITO PRIMAVERA ARTICO 50 UNID (BOLSA) (10),500.0,5.0,0.0,5.0,495.0,1.0,1401.25
1 - Jorge,70-Artico,9907-ARTICO MINI CROQUETA ESP Y QUESO 1K (6),45.0,3.0,0.0,3.0,42.0,6.67,1037.4
1 - Jorge,70-Artico,9908-ARTICO MINI CROQUETA JAM Y QUESO 1K (6),56.0,4.0,0.0,4.0,52.0,7.14,1401.4
1 - Jorge,70-Artico,6789-ARTICO PULPA DE MARACUYA 1K (6),6.0,6.0,0.0,6.0,0.0,100.0,3570.0
1 - Jorge,70-Artico,8834-BARRITAS DE MUZZA 2K ARTICO(3),54.0,1.0,0.0,1.0,53.0,1.85,821.0
1 - Jorge,70-Artico,10062-BROCOLI ARTICO 1KG (10),158.0,5.0,0.0,5.0,153.0,3.16,760.0
1 - Jorge,70-Artico,8824-CEBOLLA 1K ARTICO(10),1881.0,74.0,0.0,74.0,1807.0,3.93,8700.03
1 - Jorge,70-Artico,8828-CHAMPIGNION ENTERO 1K ARTICO (10),9.0,0.0,1.0,1.0,8.0,11.11,187.15
1 - Jorge,70-Artico,8920-DURAZNO EN MITADES ARTICO 1kg (10),0.0,3.0,0.0,3.0,-3.0,100.0,630.0
1 - Jorge,70-Artico,8917-ENSALADA DE BROCOLI 1k ARTICO(10),102.0,10.0,1.0,11.0,91.0,10.78,1501.5
1 - Jorge,70-Artico,8826-ESPINACA 1K ARTICO(10),176.0,10.0,0.0,10.0,166.0,5.68,1596.0
1 - Jorge,70-Artico,8918-EUROMIX 1 KG ARTICO (10),199.0,10.0,0.0,10.0,189.0,5.03,1453.5
1 - Jorge,70-Artico,8847-FILET MERLUZA S/ESPINA ARTICO x 1kg(10),179.0,13.0,0.0,13.0,166.0,7.26,5275.0
